admin2Name_en;admin2RefName;SenDist_en;admin1Name_en;admin0Name_en;validOn
Gwer West;Gwer West;Benue North West;Benue;Nigeria;17/04/2019
Gwiwa;Gwiwa;Jigawa North-West;Jigawa;Nigeria;17/04/2019
Gwoza;Gwoza;Borno South;Borno;Nigeria;17/04/2019
Hadejia;Hadejia;Jigawa North-East;Jigawa;Nigeria;17/04/2019
Hawul;Hawul;Borno South;Borno;Nigeria;17/04/2019
Hong;Hong;Adamawa Central;Adamawa;Nigeria;17/04/2019
Ibadan North;Ibadan North;Oyo South;Oyo;Nigeria;17/04/2019
Ibadan North East;Ibadan North East;Oyo South;Oyo;Nigeria;17/04/2019
Ibadan North West;Ibadan North West;Oyo South;Oyo;Nigeria;17/04/2019
Ibadan South East;Ibadan South East;Oyo South;Oyo;Nigeria;17/04/2019
Ibadan South West;Ibadan South West;Oyo South;Oyo;Nigeria;17/04/2019
Ibaji;Ibaji;Kogi East;Kogi;Nigeria;17/04/2019
Ibarapa Central;Ibarapa Central;Oyo South;Oyo;Nigeria;17/04/2019
Ibarapa East;Ibarapa East;Oyo South;Oyo;Nigeria;17/04/2019
Ibarapa North;Ibarapa North;Oyo South;Oyo;Nigeria;17/04/2019
Ibeju/Lekki;Ibeju/Lekki;Lagos East;Lagos;Nigeria;17/04/2019
Ibeno;Ibeno;Akwa Ibom South;Akwa Ibom;Nigeria;17/04/2019
Ibesikpo Asutan;Ibesikpo Asutan;Akwa Ibom North East;Akwa Ibom;Nigeria;17/04/2019
Ibi;Ibi;Taraba South;Taraba;Nigeria;17/04/2019
Ibiono Ibom;Ibiono Ibom;Akwa Ibom North East;Akwa Ibom;Nigeria;17/04/2019
Idah;Idah;Kogi East;Kogi;Nigeria;17/04/2019
Idanre;Idanre;Ondo Central;Ondo;Nigeria;17/04/2019
Ideato North;Ideato North;Imo West;Imo;Nigeria;17/04/2019
Ideato South;Ideato South;Imo West;Imo;Nigeria;17/04/2019
Idemili North;Idemili North;Anambra Central;Anambra;Nigeria;17/04/2019
Idemili South;Idemili South;Anambra Central;Anambra;Nigeria;17/04/2019
Ido;Ido;Oyo South;Oyo;Nigeria;17/04/2019
Ido-Osi;Ido-Osi;Ekiti North;Ekiti;Nigeria;17/04/2019
Ifako-Ijaye;Ifako-Ijaye;Lagos West;Lagos;Nigeria;17/04/2019
Ife Central;Ife Central;Osun East;Osun;Nigeria;17/04/2019
Ife East;Ife East;Osun East;Osun;Nigeria;17/04/2019
Ife North;Ife North;Osun East;Osun;Nigeria;17/04/2019
Ife South;Ife South;Osun East;Osun;Nigeria;17/04/2019
Ifedayo;Ifedayo;Osun Central;Osun;Nigeria;17/04/2019
Ifedore;Ifedore;Ondo Central;Ondo;Nigeria;17/04/2019
Ifelodun;Ifelodun;Kwara South;Kwara;Nigeria;17/04/2019
Ifelodun;Ifelodun;Osun Central;Osun;Nigeria;17/04/2019
Ifo;Ifo;Ogun Central;Ogun;Nigeria;17/04/2019
Igabi;Igabi;Kaduna Central;Kaduna;Nigeria;17/04/2019
Igalamela-Odolu;Igalamela-Odolu;Kogi East;Kogi;Nigeria;17/04/2019
Igbo-Etiti;Igbo-Etiti;Enugu North;Enugu;Nigeria;17/04/2019
Igbo-Eze North;Igbo-Eze North;Enugu North;Enugu;Nigeria;17/04/2019
Igbo-Eze South;Igbo-Eze South;Enugu North;Enugu;Nigeria;17/04/2019
Igueben;Igueben;Edo Central;Edo;Nigeria;17/04/2019
Ihiala;Ihiala;Anambra South;Anambra;Nigeria;17/04/2019
Ihitte/Uboma;Ihitte/Uboma;Imo North;Imo;Nigeria;17/04/2019
Ijebu East;Ijebu East;Ogun East;Ogun;Nigeria;17/04/2019
Ijebu North;Ijebu North;Ogun East;Ogun;Nigeria;17/04/2019
Ijebu North East;Ijebu North East;Ogun East;Ogun;Nigeria;17/04/2019
Ijebu Ode;Ijebu Ode;Ogun East;Ogun;Nigeria;17/04/2019
Ijero;Ijero;Ekiti Central;Ekiti;Nigeria;17/04/2019
Ijumu;Ijumu;Kogi West;Kogi;Nigeria;17/04/2019
Ika;Ika;Akwa Ibom North West;Akwa Ibom;Nigeria;17/04/2019
Ika North East;Ika North East;Delta North;Delta;Nigeria;17/04/2019
Ika South;Ika South;Delta North;Delta;Nigeria;17/04/2019
Ikara;Ikara;Kaduna North;Kaduna;Nigeria;17/04/2019
Ikeduru;Ikeduru;Imo East;Imo;Nigeria;17/04/2019
Ikeja;Ikeja;Lagos West;Lagos;Nigeria;17/04/2019
Ikenne;Ikenne;Ogun East;Ogun;Nigeria;17/04/2019
Ikere;Ikere;Ekiti South;Ekiti;Nigeria;17/04/2019
Ikole;Ikole;Ekiti North;Ekiti;Nigeria;17/04/2019
Ikom;Ikom;Cross River Central;Cross River;Nigeria;17/04/2019
Ikono;Ikono;Akwa Ibom North West;Akwa Ibom;Nigeria;17/04/2019
Ikorodu;Ikorodu;Lagos East;Lagos;Nigeria;17/04/2019
Ikot Abasi;Ikot Abasi;Akwa Ibom South;Akwa Ibom;Nigeria;17/04/2019
Ikot Ekpene;Ikot Ekpene;Akwa Ibom North West;Akwa Ibom;Nigeria;17/04/2019
Ikpoba-Okha;Ikpoba-Okha;Edo South;Edo;Nigeria;17/04/2019
Ikwerre;Ikwerre;Rivers East;Rivers;Nigeria;17/04/2019
Ikwo;Ikwo;Ebonyi Central;Ebonyi;Nigeria;17/04/2019
Ikwuano;Ikwuano;Abia Central;Abia;Nigeria;17/04/2019
Ila;Ila;Osun Central;Osun;Nigeria;17/04/2019
Ilaje;Ilaje;Ondo South;Ondo;Nigeria;17/04/2019
Ile-Oluji-Okeigbo;Ile-Oluji-Okeigbo;Ondo South;Ondo;Nigeria;17/04/2019
Ilejemeji;Ilejemeji;Ekiti North;Ekiti;Nigeria;17/04/2019
Ilesha East;Ilesha East;Osun East;Osun;Nigeria;17/04/2019
Ilesha West;Ilesha West;Osun East;Osun;Nigeria;17/04/2019
Illela;Illela;Sokoto East;Sokoto;Nigeria;17/04/2019
Ilorin East;Ilorin East;Kwara Central;Kwara;Nigeria;17/04/2019
Ilorin South;Ilorin South;Kwara Central;Kwara;Nigeria;17/04/2019
Ilorin West;Ilorin West;Kwara Central;Kwara;Nigeria;17/04/2019
Imeko-Afon;Imeko-Afon;Ogun West;Ogun;Nigeria;17/04/2019
Ingawa;Ingawa;Katsina North;Katsina;Nigeria;17/04/2019
Ini;Ini;Akwa Ibom North West;Akwa Ibom;Nigeria;17/04/2019
Ipokia;Ipokia;Ogun West;Ogun;Nigeria;17/04/2019
Irele;Irele;Ondo South;Ondo;Nigeria;17/04/2019
Irepo;Irepo;Oyo North;Oyo;Nigeria;17/04/2019
Irepodun;Irepodun;Kwara South;Kwara;Nigeria;17/04/2019
Irepodun;Irepodun;Osun Central;Osun;Nigeria;17/04/2019
Irepodun/Ifelodun;Irepodun/Ifelodun;Ekiti Central;Ekiti;Nigeria;17/04/2019
Irewole;Irewole;Osun West;Osun;Nigeria;17/04/2019
Isa;Isa;Sokoto East;Sokoto;Nigeria;17/04/2019
Ise/Orun;Ise/Orun;Ekiti South;Ekiti;Nigeria;17/04/2019
Iseyin;Iseyin;Oyo North;Oyo;Nigeria;17/04/2019
Ishielu;Ishielu;Ebonyi Central;Ebonyi;Nigeria;17/04/2019
Isi-Uzo;Isi-Uzo;Enugu East;Enugu;Nigeria;17/04/2019
Isiala-Ngwa North;Isiala-Ngwa North;Abia Central;Abia;Nigeria;17/04/2019
Isiala-Ngwa South;Isiala-Ngwa South;Abia Central;Abia;Nigeria;17/04/2019
Isiala Mbano;Isiala Mbano;Imo North;Imo;Nigeria;17/04/2019
Isin;Isin;Kwara South;Kwara;Nigeria;17/04/2019
Isiukwuato;Isiukwuato;Abia North;Abia;Nigeria;17/04/2019
Isokan;Isokan;Osun West;Osun;Nigeria;17/04/2019
